model_name,dataset_name,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,AUROC,n_params,accuracy_std,precision_macro_std,precision_weighted_std,recall_macro_std,recall_weighted_std
imagine_gcram_auto,cross_subject_data_1_new,0.5689655172413793,0.569506476805644,0.571937334614695,0.5687186058586298,0.5689655172413793,0.7125588824137146,795948.0,,,,,
imagine_gcram_auto,cross_subject_data_2_new,0.6163793103448276,0.633331451077391,0.6331387213425734,0.6162115781343949,0.6163793103448276,0.744137010571148,795948.0,,,,,
imagine_gcram_auto,cross_subject_data_3_new,0.5625,0.5747564250320241,0.5756047759361894,0.5617659972224375,0.5625,0.7079900479573528,795948.0,,,,,
imagine_gcram_auto,cross_subject_data_4_new,0.5948275862068966,0.5998665041179618,0.5995702946743742,0.5952739985054069,0.5948275862068966,0.7300475590325581,795948.0,,,,,
imagine_gcram_auto,cross_subject_data_5_new,0.6066810344827587,0.6180154088151137,0.620176516566082,0.6072160833960529,0.6066810344827587,0.7382473431472099,795948.0,,,,,
imagine_gcram_auto,cross_subject_data_6_new,0.5743534482758621,0.5880415633588072,0.5891252076398179,0.5743920928436981,0.5743534482758621,0.7162552777541326,795948.0,,,,,
imagine_gcram_auto,cross_subject_data_7_new,0.5959051724137931,0.600060509966666,0.6010686366235302,0.596979959695477,0.5959051724137931,0.7312413478078262,795948.0,,,,,
imagine_gcram_auto,cross_subject_data_8_new,0.5732758620689655,0.5748216442944635,0.5757625095684761,0.5729256875521846,0.5732758620689655,0.7154054477150893,795948.0,,,,,
imagine_gcram_auto,cross_subject_data_9_new,0.5959051724137931,0.5938842926112304,0.5977999433177522,0.5927949246123775,0.5959051724137931,0.7291303248080567,795948.0,,,,,
imagine_rnn,cross_subject_data_0_new,0.4073275862068966,0.40685782009124266,0.4068070947100948,0.4067362121024384,0.4073275862068966,0.6045157212942267,893956.0,,,,,
imagine_rnn,cross_subject_data_1_new,0.39978448275862066,0.40976216549788325,0.41366626255410405,0.403217748557077,0.39978448275862066,0.6020429466273942,893956.0,,,,,
imagine_rnn,cross_subject_data_2_new,0.4202586206896552,0.41884248253630957,0.4195710417203666,0.4196494992846924,0.4202586206896552,0.6132309911061278,893956.0,,,,,
imagine_rnn,cross_subject_data_3_new,0.4224137931034483,0.430495399059474,0.42943355052771437,0.4195893862601203,0.4224137931034483,0.6130622532986172,893956.0,,,,,
imagine_rnn,cross_subject_data_4_new,0.3771551724137931,0.37774413696057896,0.3775407416232887,0.3776870143176844,0.3771551724137931,0.5850037809352071,893956.0,,,,,
imagine_rnn,cross_subject_data_5_new,0.4418103448275862,0.4423776888821562,0.44292645928240726,0.4419991954947707,0.4418103448275862,0.6280140799498375,893956.0,,,,,
imagine_rnn,cross_subject_data_6_new,0.39439655172413796,0.39363716094806195,0.3945958997060437,0.39320118542594895,0.39439655172413796,0.5956038706162137,893956.0,,,,,
imagine_rnn,cross_subject_data_7_new,0.34913793103448276,0.3492351803762447,0.34946612394297266,0.35008577882563685,0.34913793103448276,0.566648807851904,893956.0,,,,,
imagine_rnn,cross_subject_data_8_new,0.38254310344827586,0.3880468914500921,0.38859476380934704,0.38369946909283914,0.38254310344827586,0.5891133004685025,893956.0,,,,,
imagine_rnn,cross_subject_data_9_new,0.44612068965517243,0.452277445283904,0.4573753865655786,0.44694344514207063,0.44612068965517243,0.631616552943732,893956.0,,,,,
